,Open,High,Low,Close,Adj Close,Volume
1092960000000,57.799999,57.959999,57.700001,57.880001,57.880001,155000
1093219200000,57.799999,57.799999,57.16,57.32,57.32,600000
1093305600000,57.720001,57.759998,56.5,56.599998,56.599998,630000
1093392000000,56.599998,57.759998,56.5,57.439999,57.439999,520000
1093478400000,57.360001,57.439999,57.139999,57.400002,57.400002,480000
1093564800000,57.400002,57.82,57.200001,57.419998,57.419998,315000
1093824000000,57.419998,57.419998,57.18,57.349998,57.349998,260000
1093910400000,57.32,57.880001,57.279999,57.880001,57.880001,245000
1093996800000,57.900002,57.900002,57.439999,57.439999,57.439999,220000
1094083200000,57.459999,57.720001,57.32,57.639999,57.639999,410000
1094169600000,57.639999,57.639999,57.34,57.380001,57.380001,390000
1094515200000,57.759998,57.959999,57.619999,57.779999,57.779999,355000
1094601600000,57.720001,58.279999,57.720001,57.98,57.98,480000
1094688000000,57.860001,57.880001,57.400002,57.639999,57.639999,405000
1094774400000,57.68,57.68,57.360001,57.439999,57.439999,490000
1095033600000,57.599998,57.759998,57.400002,57.400002,57.400002,240000
1095120000000,57.5,57.619999,57.400002,57.619999,57.619999,225000
1095206400000,57.560001,57.560001,57.400002,57.459999,57.459999,580000
1095292800000,57.560001,57.560001,57.419998,57.43,57.43,175000
1095379200000,57.419998,57.580002,57.400002,57.419998,57.419998,265000
1095638400000,57.419998,57.459999,57.400002,57.439999,57.439999,530000
1095724800000,57.52,57.900002,57.5,57.639999,57.639999,330000
1095811200000,57.720001,58.119999,57.52,58.0,58.0,780000
1095897600000,58.060001,58.380001,57.959999,58.18,58.18,575000
1095984000000,58.200001,58.34,57.599998,57.619999,57.619999,405000
1096243200000,57.200001,57.540001,57.200001,57.43,57.43,510000
1096329600000,57.439999,57.68,57.41,57.560001,57.560001,775000
1096416000000,57.5,57.599998,57.41,57.470001,57.470001,420000
1096502400000,57.419998,57.48,57.400002,57.419998,57.419998,565000
1096588800000,57.599998,57.599998,56.799999,56.799999,56.799999,835000
1096848000000,56.799999,57.34,56.52,56.759998,56.759998,565000
1096934400000,56.799999,57.139999,56.779999,57.060001,57.060001,540000
1097020800000,57.16,57.299999,56.720001,56.82,56.82,1175000
1097107200000,56.799999,57.0,56.720001,56.720001,56.720001,615000
1097193600000,56.68,57.049999,56.619999,56.799999,56.799999,605000
1097452800000,56.759998,56.900002,56.700001,56.799999,56.799999,270000
1097539200000,56.779999,56.919998,56.759998,56.880001,56.880001,405000
1097625600000,56.860001,56.900002,56.759998,56.810001,56.810001,390000
1097712000000,56.790001,56.84,55.900002,56.200001,56.200001,1060000
1097798400000,56.099998,57.48,55.700001,56.740002,56.740002,1335000
1098057600000,57.0,57.0,56.400002,56.84,56.84,375000
1098144000000,56.84,56.880001,56.02,56.299999,56.299999,850000
1098230400000,56.220001,56.279999,55.880001,55.900002,55.900002,530000
1098316800000,55.900002,56.119999,54.32,54.34,54.34,1415000
1098403200000,54.240002,54.98,53.700001,54.240002,54.240002,1235000
1098662400000,54.0,54.119999,53.740002,54.060001,54.060001,835000
1098748800000,54.220001,56.279999,54.200001,56.279999,56.279999,725000
1098835200000,56.200001,56.439999,55.400002,55.98,55.98,490000
1098921600000,55.700001,56.400002,55.599998,55.84,55.84,365000
1099008000000,55.68,56.119999,55.639999,56.080002,56.080002,420000
1099267200000,56.060001,56.540001,55.84,56.18,56.18,380000
1099353600000,56.18,56.48,55.799999,56.0,56.0,380000
1099440000000,56.200001,56.380001,55.16,55.32,55.32,520000
1099526400000,55.32,55.860001,54.860001,55.84,55.84,840000
1099612800000,55.639999,55.919998,55.200001,55.299999,55.299999,890000
1099872000000,55.299999,56.5,54.040001,56.040001,56.040001,1410000
1099958400000,56.02,56.700001,56.02,56.639999,56.639999,705000
1100044800000,56.619999,56.619999,56.400002,56.5,56.5,545000
1100131200000,56.5,56.779999,56.279999,56.380001,56.380001,440000
1100217600000,55.599998,55.720001,55.02,55.220001,55.220001,1345000
1100476800000,55.18,55.860001,55.099998,55.860001,55.860001,1200000
1100563200000,55.5,56.799999,55.5,56.720001,56.720001,790000
1100649600000,56.700001,57.459999,56.619999,57.220001,57.220001,555000
1100736000000,57.099998,57.380001,56.720001,56.779999,56.779999,560000
1100822400000,56.700001,56.919998,56.080002,56.900002,56.900002,370000
1101081600000,56.619999,56.68,55.419998,55.779999,55.779999,800000
1101168000000,55.959999,55.98,55.419998,55.799999,55.799999,515000
1101254400000,55.799999,56.0,55.560001,56.0,56.0,420000
1101427200000,55.98,56.439999,55.860001,56.060001,56.060001,325000
1101686400000,56.0,56.279999,55.599998,55.98,55.98,355000
1101772800000,55.799999,56.0,55.540001,55.599998,55.599998,615000
1101859200000,55.599998,55.98,55.599998,55.77,55.77,585000
1101945600000,55.599998,56.380001,55.599998,56.299999,56.299999,750000
1102032000000,56.240002,57.18,56.240002,56.560001,56.560001,715000
1102291200000,56.400002,56.5,55.919998,55.98,55.98,720000
1102377600000,55.799999,56.380001,55.799999,56.02,56.02,450000
1102464000000,55.900002,56.400002,55.84,56.34,56.34,355000
1102550400000,56.200001,56.240002,55.919998,56.040001,56.040001,380000
1102636800000,56.0,56.0,55.560001,55.84,55.84,720000
1102896000000,55.639999,55.900002,55.52,55.82,55.82,955000
1102982400000,55.639999,56.040001,55.599998,56.040001,56.040001,485000
1103068800000,56.02,56.639999,56.0,56.599998,56.599998,555000
1103155200000,56.599998,57.279999,56.599998,57.209999,57.209999,1015000
1103241600000,57.099998,57.439999,57.02,57.240002,57.240002,575000
1103500800000,57.16,57.5,57.099998,57.48,57.48,485000
1103587200000,57.700001,58.16,57.700001,58.119999,58.119999,900000
1103673600000,58.5,59.880001,58.439999,59.450001,59.450001,1030000
1103760000000,59.66,59.68,59.299999,59.380001,59.380001,330000
1104105600000,59.200001,59.200001,58.639999,58.740002,58.740002,435000
1104192000000,58.200001,59.139999,58.200001,59.080002,59.080002,485000
1104278400000,59.259998,59.740002,59.139999,59.299999,59.299999,590000
1104364800000,59.119999,59.580002,58.48,59.119999,59.119999,725000
1104451200000,59.119999,59.18,58.599998,58.720001,58.720001,380000
1104710400000,58.720001,58.720001,57.799999,57.98,57.98,690000
1104796800000,57.959999,58.16,56.82,57.099998,57.099998,825000
1104883200000,57.0,57.220001,56.84,57.200001,57.200001,1490000
1104969600000,57.200001,57.5,57.060001,57.48,57.48,875000
1105056000000,57.52,58.5,57.32,58.380001,58.380001,705000
1105315200000,58.0,58.52,57.599998,58.52,58.52,515000
1105401600000,58.5,58.5,57.5,57.529999,57.529999,605000
1105488000000,57.68,58.0,57.209999,57.52,57.52,420000
1105574400000,57.5,57.560001,57.220001,57.400002,57.400002,300000
1105660800000,57.66,57.68,57.200001,57.27,57.27,410000
1106006400000,57.52,58.02,57.32,57.799999,57.799999,910000
1106092800000,57.799999,58.360001,57.639999,57.779999,57.779999,545000
1106179200000,58.32,58.5,58.02,58.360001,58.360001,775000
1106265600000,58.720001,60.240002,58.599998,60.09,60.09,1595000
1106524800000,60.0,60.080002,59.860001,60.0,60.0,605000
1106611200000,60.0,60.009998,59.299999,59.700001,59.700001,810000
1106697600000,59.700001,59.700001,59.259998,59.279999,59.279999,520000
1106784000000,59.400002,59.5,58.66,58.84,58.84,400000
1106870400000,59.200001,60.060001,59.080002,60.0,60.0,1600000
1107129600000,60.0,60.119999,59.400002,59.880001,59.880001,715000
1107216000000,59.939999,60.439999,59.860001,60.34,60.34,560000
1107302400000,60.299999,60.48,60.0,60.080002,60.080002,675000
1107388800000,60.279999,60.279999,59.880001,60.080002,60.080002,530000
1107475200000,60.0,60.490002,59.66,60.490002,60.490002,460000
1107734400000,60.490002,60.919998,60.32,60.860001,60.860001,890000
1107820800000,60.700001,60.860001,60.16,60.720001,60.720001,545000
1107907200000,60.759998,60.860001,60.41,60.66,60.66,440000
1107993600000,60.619999,60.740002,60.439999,60.599998,60.599998,565000
1108080000000,60.5,61.34,60.5,61.16,61.16,980000
1108339200000,61.279999,61.279999,60.84,60.84,60.84,350000
1108425600000,60.84,61.16,60.619999,60.619999,60.619999,365000
1108512000000,60.639999,60.700001,60.040001,60.459999,60.459999,580000
1108598400000,60.200001,60.34,60.060001,60.240002,60.240002,435000
1108684800000,60.200001,60.200001,59.84,60.049999,60.049999,520000
1109030400000,59.82,60.700001,59.799999,60.080002,60.080002,640000
1109116800000,60.330002,60.799999,60.200001,60.68,60.68,400000
1109203200000,60.740002,60.740002,60.0,60.240002,60.240002,695000
1109289600000,60.0,60.459999,59.939999,60.32,60.32,390000
1109548800000,60.240002,60.360001,60.099998,60.299999,60.299999,490000
1109635200000,60.32,60.700001,60.240002,60.419998,60.419998,405000
1109721600000,60.32,60.380001,60.040001,60.080002,60.080002,480000
1109808000000,60.02,60.299999,59.279999,59.52,59.52,945000
1109894400000,59.700001,59.84,59.200001,59.580002,59.580002,1100000
1110153600000,59.799999,60.34,59.360001,60.02,60.02,1105000
1110240000000,60.049999,60.419998,59.860001,60.220001,60.220001,710000
1110326400000,60.0,60.700001,60.0,60.5,60.5,890000
1110412800000,60.360001,60.459999,60.02,60.139999,60.139999,650000
1110499200000,60.240002,60.360001,60.0,60.02,60.02,735000
1110758400000,60.32,60.32,60.02,60.119999,60.119999,300000
1110844800000,60.240002,60.299999,59.560001,59.560001,59.560001,795000
1110931200000,59.400002,59.400002,57.259998,57.360001,57.360001,2390000
1111017600000,57.400002,59.360001,57.400002,58.66,58.66,1580000
1111104000000,58.880001,58.959999,58.16,58.369999,58.369999,475000
1111363200000,58.360001,58.799999,58.02,58.02,58.02,675000
1111449600000,58.0,58.0,57.419998,57.700001,57.700001,705000
1111536000000,57.459999,57.580002,57.200001,57.200001,57.200001,940000
1111622400000,57.299999,58.119999,57.290001,57.900002,57.900002,660000
1111968000000,58.0,58.0,57.099998,57.400002,57.400002,920000
1112054400000,56.799999,57.52,56.099998,57.279999,57.279999,2465000
1112140800000,57.259998,58.16,57.18,57.759998,57.759998,1480000
1112227200000,57.66,57.700001,56.959999,57.119999,57.119999,995000
1112313600000,56.900002,57.32,56.200001,56.299999,56.299999,1145000
1112572800000,57.200001,57.82,56.700001,57.700001,57.700001,1370000
1112659200000,57.860001,58.599998,57.860001,58.419998,58.419998,710000
1112745600000,58.5,58.959999,58.200001,58.48,58.48,530000
1112832000000,58.400002,58.580002,57.82,58.049999,58.049999,415000
1112918400000,57.900002,57.98,57.52,57.650002,57.650002,480000
1113177600000,57.400002,58.52,57.400002,58.299999,58.299999,895000
1113264000000,58.439999,58.639999,58.16,58.360001,58.360001,1025000
1113350400000,58.34,58.560001,57.400002,57.709999,57.709999,725000
1113436800000,57.560001,57.599998,57.099998,57.220001,57.220001,515000
1113523200000,56.900002,57.759998,56.66,56.939999,56.939999,1190000
1113782400000,57.240002,57.560001,56.240002,56.48,56.48,1280000
1113868800000,56.799999,57.099998,56.200001,56.48,56.48,720000
1113955200000,56.48,56.48,55.200001,55.209999,55.209999,1470000
1114041600000,56.200001,56.299999,55.720001,55.959999,55.959999,1410000
1114128000000,55.959999,56.099998,54.84,54.860001,54.860001,1240000
1114387200000,55.200001,55.779999,54.880001,55.060001,55.060001,1285000
1114473600000,55.52,55.52,55.0,55.02,55.02,810000
1114560000000,54.98,55.080002,54.66,54.869999,54.869999,935000
1114646400000,54.68,56.779999,54.68,55.799999,55.799999,1255000
1114732800000,55.860001,56.5,55.860001,55.959999,55.959999,885000
1114992000000,56.66,57.599998,56.400002,56.599998,56.599998,1210000
1115078400000,56.599998,56.759998,56.02,56.259998,56.259998,605000
