Date,Open,High,Low,Close,Adj Close,Volume
2004-08-20,21.949625,22.206116,21.929895,22.137060,18.058205,6499442
2004-08-23,22.048275,22.324495,21.850975,21.870705,17.840927,4154992
2004-08-24,22.097601,22.294901,21.900299,22.008816,17.953590,5287278
2004-08-25,21.910166,22.383684,21.910166,22.196251,18.106487,4876026
2004-08-26,22.265305,22.472469,22.176519,22.373819,18.251337,2889306
2004-08-27,22.294901,22.442875,22.087734,22.354090,18.235249,3743639
2004-08-30,22.196251,22.334360,22.077869,22.097601,18.026012,3714850
2004-08-31,22.225845,22.285034,22.028545,22.146925,18.066252,5101166
2004-09-01,22.156790,22.225845,21.989084,22.176519,18.090393,4670654
2004-09-02,22.048275,22.275169,21.929895,22.235710,18.138676,5099645
2004-09-03,22.196251,22.383684,21.998949,22.068005,18.001869,4262443
2004-09-07,22.058140,22.482334,22.058140,22.383684,18.259390,5705423
2004-09-08,22.551390,22.768419,22.462605,22.580984,18.420336,6231627
2004-09-09,22.571119,22.728960,22.502066,22.551390,18.396198,6004663
2004-09-10,22.709230,23.074236,22.590851,22.847340,18.637611,6513634
2004-09-13,22.896666,23.163019,22.886801,23.005180,18.766367,4227674
2004-09-14,23.005180,23.064369,22.689501,22.936125,18.710035,6719513
2004-09-15,22.936125,22.985451,22.620445,22.699366,18.516905,6505626
2004-09-16,22.620445,23.261669,22.620445,23.084101,18.830751,5066396
2004-09-17,23.330725,23.330725,23.074236,23.103830,18.846844,5720831
2004-09-20,22.945990,23.113695,22.689501,22.817745,18.613472,6167359
2004-09-21,22.985451,23.103830,22.689501,23.093966,18.838795,5220882
2004-09-22,22.965719,23.182751,22.896666,22.985451,18.750277,4663558
2004-09-23,22.886801,23.172886,22.847340,22.945990,18.718084,5380841
2004-09-24,22.886801,23.271536,22.886801,23.143290,18.879038,3956006
2004-09-27,22.945990,23.034775,22.798016,22.857204,18.645657,4818449
2004-09-28,22.837475,22.955854,22.048275,22.294901,18.186964,13157932
2004-09-29,22.304766,22.492201,21.702999,22.492201,18.347908,11477750
2004-09-30,22.245575,22.452740,22.087734,22.245575,18.146725,9099037
2004-10-01,22.255440,22.857204,22.206116,22.768419,18.573231,6009427
2004-10-04,23.419510,23.419510,22.876934,23.222210,18.943409,7265079
2004-10-05,23.261669,23.666136,23.202480,23.557619,19.217016,8125697
2004-10-06,23.646404,24.021275,23.458969,24.011410,19.587200,9217233
2004-10-07,24.041004,24.623039,23.952221,24.415874,19.917137,13850988
2004-10-08,24.415874,24.711824,24.228439,24.514524,19.997610,10226356
2004-10-11,24.514524,24.672365,24.445471,24.563850,20.037848,5527116
2004-10-12,24.317225,24.524389,24.248171,24.504660,19.989561,9507045
2004-10-13,24.494795,24.761150,24.494795,24.672365,20.126368,9925900
2004-10-14,24.672365,24.692095,24.336954,24.514524,19.997610,8902889
2004-10-15,24.484930,24.672365,24.267900,24.573715,20.045895,8775063
2004-10-18,24.662500,24.810474,24.642771,24.741421,20.182701,6602838
2004-10-19,24.711824,24.771015,24.475065,24.553986,20.029799,6308262
2004-10-20,24.445471,24.563850,24.297495,24.406010,19.909090,5586518
2004-10-21,24.386280,24.958450,24.169250,24.958450,20.359741,7961176
2004-10-22,24.761150,24.790745,24.218575,24.287630,19.812523,5831526
2004-10-25,24.080465,24.267900,23.942354,24.258036,19.788380,5799493
2004-10-26,24.169250,24.593445,24.031139,24.534254,20.013702,5979219
2004-10-27,24.425739,24.642771,24.169250,24.632904,20.094177,5271668
2004-10-28,24.632904,24.859800,24.445471,24.780880,20.214886,4965129
2004-10-29,24.662500,24.918989,24.563850,24.879530,20.295362,6362899
2004-11-01,24.790745,25.076830,24.455336,24.889395,20.303410,5372428
2004-11-02,24.632904,25.510889,24.632904,25.116289,20.488497,8445717
2004-11-03,25.550350,25.579945,25.116289,25.293859,20.633347,6032134
2004-11-04,25.382645,26.033735,25.333321,25.964680,21.180569,6877547
2004-11-05,25.964680,26.309956,25.796974,26.073195,21.269089,7302788
2004-11-08,25.796974,25.944950,25.609541,25.688459,20.955238,5572225
2004-11-09,25.649000,26.132385,25.649000,25.915356,21.140331,5872884
2004-11-10,26.043600,26.497391,26.004141,26.300091,21.454176,7939483
2004-11-11,26.438200,26.438200,25.994274,26.231035,21.397846,6623112
2004-11-12,26.191574,26.596041,26.112656,26.438200,21.566843,5176381
2004-11-15,26.497391,26.605906,26.270494,26.369144,21.510509,4972225
2004-11-16,26.191574,26.398741,26.063330,26.171844,21.349564,5974557
2004-11-17,26.191574,26.517120,26.112656,26.201441,21.373705,6225038
2004-11-18,26.112656,26.329685,25.964680,26.014006,21.220810,6066194
2004-11-19,26.536850,26.714420,26.142250,26.300091,21.454176,9298125
2004-11-22,26.319820,26.852530,26.142250,26.822935,21.880684,6695084
2004-11-23,26.832800,27.000505,26.744015,26.951180,21.985296,6170198
2004-11-24,27.030100,27.079426,26.842665,26.970909,22.001398,3396249
2004-11-26,26.862394,26.970909,26.536850,26.753880,21.824358,1487481
2004-11-29,26.970909,27.069559,26.339550,26.694691,21.776072,5664369
2004-11-30,26.615770,26.882126,26.517120,26.517120,21.631218,4970502
2004-12-01,26.605906,27.404970,26.596041,27.306320,22.275003,7988140
2004-12-02,27.306320,27.612135,27.237265,27.247129,22.226719,5921338
2004-12-03,27.148479,27.375376,26.911720,27.000505,22.025537,5587126
2004-12-06,27.000505,27.128750,26.832800,26.951180,21.985296,3898936
2004-12-07,26.872259,27.109020,26.625635,26.734150,21.808258,5969488
2004-12-08,26.704556,26.832800,26.319820,26.832800,22.084316,6281703
2004-12-09,26.832800,27.266859,26.783476,27.247129,22.425318,7443994
2004-12-10,26.645365,27.602270,26.645365,27.256994,22.433437,4061835
2004-12-13,27.266859,27.414835,27.217535,27.355644,22.514633,5121034
2004-12-14,27.355644,27.365511,27.207670,27.286591,22.457796,5528231
2004-12-15,27.128750,27.335915,27.109020,27.227400,22.409082,6935124
2004-12-16,27.227400,27.483891,27.059694,27.178076,22.368490,6128941
2004-12-17,27.187941,27.375376,26.980776,27.000505,22.222342,8173948
2004-12-20,27.059694,27.256994,26.862394,27.049829,22.262938,4614192
2004-12-21,27.000505,27.276726,26.921585,27.109020,22.311649,4382159
2004-12-22,27.197805,27.276726,27.010370,27.256994,22.433437,4294475
2004-12-23,27.187941,27.306320,27.148479,27.217535,22.400967,2940699
2004-12-27,27.286591,27.474026,27.217535,27.375376,22.530872,2946984
2004-12-28,27.395105,27.612135,27.316185,27.612135,22.725737,3352053
2004-12-29,27.503620,27.602270,27.444429,27.572676,22.693262,3597669
2004-12-30,27.602270,27.651594,27.503620,27.503620,22.636423,3949012
2004-12-31,27.602270,27.622000,27.385241,27.424700,22.571466,2451799
2005-01-03,27.434565,27.878490,27.434565,27.474026,22.612066,5698936
2005-01-04,27.839029,27.839029,27.148479,27.178076,22.368490,5893969
2005-01-05,27.375376,27.375376,27.020235,27.030100,22.246700,5454638
