Date,Open,High,Low,Close,Adj Close,Volume
2004-08-20,196.120819,196.961502,195.099976,196.060776,117.833626,2709310
2004-08-23,196.240921,196.601212,194.919830,195.220078,117.328308,2231868
2004-08-24,196.361023,196.661255,194.619583,195.940674,117.761421,2641549
2004-08-25,195.280136,198.102448,194.679642,196.901459,118.338852,2621232
2004-08-26,196.661255,197.561996,196.000717,196.901459,118.338852,1518920
2004-08-27,196.661255,197.321808,196.060776,196.781357,118.266693,1311624
2004-08-30,195.940674,196.661255,195.460281,195.580383,117.544899,1561402
2004-08-31,195.099976,197.021561,194.019089,196.901459,118.338852,2767462
2004-09-01,196.901459,197.982346,195.880615,197.441895,118.663589,1915511
2004-09-02,197.561996,199.123276,196.841415,198.943130,119.565880,2303776
2004-09-03,198.162491,198.883087,196.841415,197.201706,118.519318,1942556
2004-09-07,198.462738,201.104904,198.342636,200.204163,120.323799,3162538
2004-09-08,200.204163,202.486038,200.144119,202.125748,121.478676,4495044
2004-09-09,201.765442,204.347565,201.705399,203.326721,122.200523,4358190
2004-09-10,202.966431,204.227463,201.285049,203.446823,122.272644,2704680
2004-09-13,203.446823,204.467667,202.425995,202.666183,121.803474,2851493
2004-09-14,201.765442,203.086533,201.285049,203.086533,122.056129,2302993
2004-09-15,203.086533,203.086533,201.104904,201.345108,121.009537,2091833
2004-09-16,201.645355,202.726242,201.164948,201.345108,121.009537,1576173
2004-09-17,202.365936,205.608597,202.365936,205.488495,123.499786,4893734
2004-09-20,204.467667,206.989731,204.287521,205.428452,123.463646,3293764
2004-09-21,205.488495,207.350021,204.347565,206.929688,124.365860,2539999
2004-09-22,205.368408,205.668655,202.425995,203.747070,122.453125,3393848
2004-09-23,202.786285,202.786285,200.564468,200.684555,121.327690,2537334
2004-09-24,201.164948,201.285049,199.423523,200.624512,121.291420,2218846
2004-09-27,198.883087,200.024017,198.222549,198.883087,120.238541,2815306
2004-09-28,199.363480,200.984802,198.402695,200.024017,120.928299,2567859
2004-09-29,200.864716,201.645355,199.843872,200.864716,121.436607,2407441
2004-09-30,200.564468,201.825500,199.963974,201.645355,121.908508,3502076
2004-10-01,202.365936,204.107361,202.065689,203.987274,123.324394,2613322
2004-10-04,204.167419,205.728699,203.506882,204.888000,123.868996,2586744
2004-10-05,204.707855,204.888000,203.086533,204.467667,123.614891,2080642
